sport,event_id,event_name,bookmaker,market_type,team,price,point
icehockey_nhl,2bc3ebb2ae837da895d509d72f792aee,Philadelphia Flyers vs New York Islanders,FanDuel,h2h,New York Islanders,2.0,
icehockey_nhl,2bc3ebb2ae837da895d509d72f792aee,Philadelphia Flyers vs New York Islanders,FanDuel,h2h,Philadelphia Flyers,1.83,
icehockey_nhl,2bc3ebb2ae837da895d509d72f792aee,Philadelphia Flyers vs New York Islanders,DraftKings,h2h,New York Islanders,1.95,
icehockey_nhl,2bc3ebb2ae837da895d509d72f792aee,Philadelphia Flyers vs New York Islanders,DraftKings,h2h,Philadelphia Flyers,1.87,
icehockey_nhl,2bc3ebb2ae837da895d509d72f792aee,Philadelphia Flyers vs New York Islanders,BetMGM,h2h,New York Islanders,1.95,
icehockey_nhl,2bc3ebb2ae837da895d509d72f792aee,Philadelphia Flyers vs New York Islanders,BetMGM,h2h,Philadelphia Flyers,1.87,
icehockey_nhl,2bc3ebb2ae837da895d509d72f792aee,Philadelphia Flyers vs New York Islanders,Caesars,h2h,New York Islanders,2.0,
icehockey_nhl,2bc3ebb2ae837da895d509d72f792aee,Philadelphia Flyers vs New York Islanders,Caesars,h2h,Philadelphia Flyers,1.83,
icehockey_nhl,88973656bff09527ea4ef984ad3f5f4b,New York Rangers vs Pittsburgh Penguins,FanDuel,h2h,New York Rangers,1.5,
icehockey_nhl,88973656bff09527ea4ef984ad3f5f4b,New York Rangers vs Pittsburgh Penguins,FanDuel,h2h,Pittsburgh Penguins,2.62,
icehockey_nhl,88973656bff09527ea4ef984ad3f5f4b,New York Rangers vs Pittsburgh Penguins,DraftKings,h2h,New York Rangers,1.51,
icehockey_nhl,88973656bff09527ea4ef984ad3f5f4b,New York Rangers vs Pittsburgh Penguins,DraftKings,h2h,Pittsburgh Penguins,2.64,
icehockey_nhl,88973656bff09527ea4ef984ad3f5f4b,New York Rangers vs Pittsburgh Penguins,BetMGM,h2h,New York Rangers,1.5,
icehockey_nhl,88973656bff09527ea4ef984ad3f5f4b,New York Rangers vs Pittsburgh Penguins,BetMGM,h2h,Pittsburgh Penguins,2.65,
icehockey_nhl,88973656bff09527ea4ef984ad3f5f4b,New York Rangers vs Pittsburgh Penguins,Caesars,h2h,New York Rangers,1.51,
icehockey_nhl,88973656bff09527ea4ef984ad3f5f4b,New York Rangers vs Pittsburgh Penguins,Caesars,h2h,Pittsburgh Penguins,2.62,
icehockey_nhl,feb4d61dcccc05bcd40edf6c0f127062,St Louis Blues vs Edmonton Oilers,FanDuel,h2h,Edmonton Oilers,1.52,
icehockey_nhl,feb4d61dcccc05bcd40edf6c0f127062,St Louis Blues vs Edmonton Oilers,FanDuel,h2h,St Louis Blues,2.6,
icehockey_nhl,feb4d61dcccc05bcd40edf6c0f127062,St Louis Blues vs Edmonton Oilers,DraftKings,h2h,Edmonton Oilers,1.51,
icehockey_nhl,feb4d61dcccc05bcd40edf6c0f127062,St Louis Blues vs Edmonton Oilers,DraftKings,h2h,St Louis Blues,2.64,
icehockey_nhl,feb4d61dcccc05bcd40edf6c0f127062,St Louis Blues vs Edmonton Oilers,BetMGM,h2h,Edmonton Oilers,1.5,
icehockey_nhl,feb4d61dcccc05bcd40edf6c0f127062,St Louis Blues vs Edmonton Oilers,BetMGM,h2h,St Louis Blues,2.65,
