sport,event_id,event_name,bookmaker,team,price
icehockey_nhl,7649ddcd336e1a12a8259f4135360180,Washington Capitals vs Detroit Red Wings,Caesars,Detroit Red Wings,1.95
icehockey_nhl,7649ddcd336e1a12a8259f4135360180,Washington Capitals vs Detroit Red Wings,Caesars,Washington Capitals,1.87
icehockey_nhl,7649ddcd336e1a12a8259f4135360180,Washington Capitals vs Detroit Red Wings,SI Sportsbook,Detroit Red Wings,1.95
icehockey_nhl,7649ddcd336e1a12a8259f4135360180,Washington Capitals vs Detroit Red Wings,SI Sportsbook,Washington Capitals,1.85
icehockey_nhl,7649ddcd336e1a12a8259f4135360180,Washington Capitals vs Detroit Red Wings,WynnBET,Detroit Red Wings,2.0
icehockey_nhl,7649ddcd336e1a12a8259f4135360180,Washington Capitals vs Detroit Red Wings,WynnBET,Washington Capitals,1.91
icehockey_nhl,3155054ddb303037fc92da88afdb5509,New York Rangers vs Philadelphia Flyers,betPARX,New York Rangers,1.5
icehockey_nhl,3155054ddb303037fc92da88afdb5509,New York Rangers vs Philadelphia Flyers,betPARX,Philadelphia Flyers,2.65
icehockey_nhl,3155054ddb303037fc92da88afdb5509,New York Rangers vs Philadelphia Flyers,BetRivers,New York Rangers,1.5
icehockey_nhl,3155054ddb303037fc92da88afdb5509,New York Rangers vs Philadelphia Flyers,BetRivers,Philadelphia Flyers,2.65
icehockey_nhl,3155054ddb303037fc92da88afdb5509,New York Rangers vs Philadelphia Flyers,DraftKings,New York Rangers,1.52
icehockey_nhl,3155054ddb303037fc92da88afdb5509,New York Rangers vs Philadelphia Flyers,DraftKings,Philadelphia Flyers,2.6
icehockey_nhl,3155054ddb303037fc92da88afdb5509,New York Rangers vs Philadelphia Flyers,FanDuel,New York Rangers,1.53
icehockey_nhl,3155054ddb303037fc92da88afdb5509,New York Rangers vs Philadelphia Flyers,FanDuel,Philadelphia Flyers,2.55
icehockey_nhl,3155054ddb303037fc92da88afdb5509,New York Rangers vs Philadelphia Flyers,ESPN BET,New York Rangers,1.5
icehockey_nhl,3155054ddb303037fc92da88afdb5509,New York Rangers vs Philadelphia Flyers,ESPN BET,Philadelphia Flyers,2.7
icehockey_nhl,3155054ddb303037fc92da88afdb5509,New York Rangers vs Philadelphia Flyers,BetMGM,New York Rangers,1.5
icehockey_nhl,3155054ddb303037fc92da88afdb5509,New York Rangers vs Philadelphia Flyers,BetMGM,Philadelphia Flyers,2.65
icehockey_nhl,3155054ddb303037fc92da88afdb5509,New York Rangers vs Philadelphia Flyers,Caesars,New York Rangers,1.51
icehockey_nhl,3155054ddb303037fc92da88afdb5509,New York Rangers vs Philadelphia Flyers,Caesars,Philadelphia Flyers,2.62
icehockey_nhl,3155054ddb303037fc92da88afdb5509,New York Rangers vs Philadelphia Flyers,SI Sportsbook,New York Rangers,1.5
icehockey_nhl,3155054ddb303037fc92da88afdb5509,New York Rangers vs Philadelphia Flyers,SI Sportsbook,Philadelphia Flyers,2.6
icehockey_nhl,3155054ddb303037fc92da88afdb5509,New York Rangers vs Philadelphia Flyers,WynnBET,New York Rangers,1.51
icehockey_nhl,3155054ddb303037fc92da88afdb5509,New York Rangers vs Philadelphia Flyers,WynnBET,Philadelphia Flyers,2.77
icehockey_nhl,d1f15b98e1c054ad0c73cfa280200f30,Toronto Maple Leafs vs New Jersey Devils,betPARX,New Jersey Devils,2.2
icehockey_nhl,d1f15b98e1c054ad0c73cfa280200f30,Toronto Maple Leafs vs New Jersey Devils,betPARX,Toronto Maple Leafs,1.68
